id,name,amenity,healthcare,lga,lat,lon
node/2923573777,Daura Health Post,hospital,,Karaye,11.7256288,7.9830086
node/2923573778,Dederi Health Post,hospital,,Karaye,11.8436645,8.0573574
node/2923573779,Dutsan Amare Health Post,hospital,,Karaye,11.8273137,7.9908227
node/2923573780,Kadafa Health Post,hospital,,Karaye,11.7988485,7.941187
node/2923573781,Kara Primary Health Centre,hospital,,Gwarzo,11.8432876,7.9591133
node/2923573783,Kurugu Health Post,hospital,,Karaye,11.8328346,8.039604
node/2923573784,Sabon Birni Primary Health Centre,hospital,,Gwarzo,11.8562137,8.0313367
node/2923573785,Sabon Fegi Health Post,hospital,,Karaye,11.806303,8.0639555
node/2923573786,Sabon Layin Kara Health Post,hospital,,Gwarzo,11.8249152,7.9326276
node/2923573788,Tudun Kaya Health Post,hospital,,Karaye,11.7332488,7.930958
node/2923573789,Tumfafi Health Post,hospital,,Gwarzo,11.8377453,8.02226
node/2923573790,Turawa Primary Health Centre,hospital,,Karaye,11.6976912,8.0479644
node/2923573793,Unguwar Tofa Health Post,hospital,,Karaye,11.785645,7.9596402
node/2923573794,Yola Primary Health Centre,hospital,,Karaye,11.7198087,7.9490968
node/2923573795,Zangun Majema Health Post,hospital,,Karaye,11.8161764,8.002074
node/2923599548,Dadin Kowa Primary Health Centre,hospital,,Doguwa,10.7017877,8.6305712
node/2923599549,Dariyar Shere Primary Health Centre,hospital,,Doguwa,10.6704612,8.7410562
node/2923599550,Dokar Sati Health Post,hospital,,Doguwa,10.728985,8.619358
node/2923599553,Kwando Primary Health Centre,hospital,,Doguwa,10.7083293,8.6821695
